id,open_date,type,P1,P2,P3,P4,P5,P6,P7,P8,revenue
87895,12/12/2011,IL,5,3,2,3,5,4,2,5,12868628
42772,12/17/2006,IL,5,3,1,1,5,4,7.5,3,18386594
75893,10/04/2012,IL,5,2,3,2,5,1,3,5,20653754
19120,04/12/2013,IL,10,6,2,2,8,2,7.5,4,13583490
15290,01/17/2012,IL,10,2,1,2,5,2,5,4,16700517
35737,12/28/2010,IL,4,1,5,5,5,2,3,4,13851783
43194,09/13/1999,IL,5,2,1,1,8,5,3,4,14499118
78358,06/16/2012,FC,5,3,1,4,8,2,7.5,5,12856948
73962,12/07/2008,IL,5,5,1,1,10,4,3,8,13972752
54131,07/14/2000,FC,5,4,1,3,10,4,3,5,14001425
42342,11/25/2009,FC,10,5,1,1,5,5,3,8,13196938
9752,02/06/2007,FC,5,3,2,3,5,5,1,5,13912322
88091,05/29/2013,FC,5,3,1,2,5,4,2,5,13041980
88422,12/03/2012,FC,10,2,2,4,4,3,3,4,14217991
85850,05/01/2013,FC,5,2,25,2,4,2,3,2,7168114
45836,08/23/2013,FC,5,2,10,2,4,3,3,4,12294801
43357,09/14/2009,IL,5,4,15,2,4,2,3,5,10223396
88559,09/13/2006,IL,4,3,5,1,10,2,2,8,12167127
58313,12/17/2013,IL,5,5,1,2,10,2,2,4,14584676
21703,12/17/2013,IL,5,5,1,1,5,8,1,3,13030828
87977,04/04/2008,IL,5,3,3,1,4,1,3,5,12187488
61332,07/17/2009,FC,5,4,20,2,5,2,7.5,4,9188470
63332,10/04/2013,IL,5,1,4,2,5,10,5,4,13417918
26975,04/09/2000,IL,5,2,3,4,5,1,3,5,12976170
42068,11/19/2009,IL,5,2,1,5,4,2,3,4,20377986
19938,01/04/2014,IL,5,4,2,1,5,3,3,4,18925528
57450,03/19/2012,FC,10,4,2,1,4,3,1,4,12281608
52581,04/08/2010,FC,5,5,1,1,3,1,1,5,14974569
85516,07/15/2013,FC,5,2,5,2,5,1,2,5,11728663
14226,06/28/2012,IL,10,5,1,1,5,3,3,4,14530738
47743,05/03/2009,FC,4,5,3,1,8,2,3,4,12288327
93045,09/07/2010,FC,5,3,1,2,4,2,3,4,13011013
90177,12/21/2012,FC,5,4,1,1,5,2,3,10,20364051
83492,06/01/2012,MB,5,2,2,1,5,3,3,5,13621200
25887,07/07/2010,FC,5,3,4,2,4,2,3,10,13395264
65478,05/05/2007,FC,5,4,1,1,5,2,7.5,4,14107308
48167,09/09/2013,IL,5,2,2,3,3,3,3,5,12689554
74923,09/26/2003,FC,5,1,1,4,10,2,2,5,20100762
535,04/22/2008,FC,5,4,1,2,3,2,7.5,4,10374076
14171,12/28/2011,FC,5,1,15,4,4,2,3,3,9814281
72628,03/05/2012,FC,4,2,2,1,5,1,3,5,14161827
14639,03/06/2013,IL,5,4,1,3,8,1,3,4,14521888
20881,08/25/2006,FC,5,5,3,1,6,3,3,4,9841047
27743,05/03/2009,FC,5,1,1,5,4,3,3,5,14338551
6913,11/22/2012,DT,4,2,10,3,5,2,3,4,10939636
2631,01/31/2012,FC,4,4,1,2,5,2,2,6,12781026
96849,05/16/2008,FC,5,2,5,5,5,2,3,5,11832259
606,02/21/2013,IL,10,4,3,2,5,2,2,8,13157765
47421,10/04/2000,FC,4,1,1,3,5,4,1,6,14685656
25994,09/09/2013,FC,5,5,1,1,4,2,2,8,9503384
45852,11/05/2009,IL,10,2,5,3,3,4,7.5,8,12527362
69612,09/26/2003,FC,5,1,5,3,3,5,3,5,11649816
23989,02/19/2010,FC,5,3,5,1,5,4,3,4,20532882
21814,01/05/2000,IL,5,2,2,1,5,3,3,5,13969311
39463,05/06/2013,FC,5,10,1,2,5,2,7.5,5,13695722
14411,11/13/2013,FC,10,2,5,1,5,4,3,10,11096119
53093,07/14/2000,IL,5,3,5,2,10,1,2,5,12161283
47042,06/01/2012,IL,10,3,15,2,4,2,2,5,10894187
14763,07/22/2010,FC,5,5,4,1,5,3,3,10,12497074
46570,11/22/2012,IL,5,4,1,1,5,4,7.5,4,12149035
3530,03/06/2013,FC,5,2,5,1,5,1,1,4,17810894
2626,09/04/2009,IL,5,1,1,3,4,2,1,5,14772063
83390,02/09/2010,IL,5,4,5,3,8,4,1,5,13063811
77886,04/04/2008,IL,5,2,1,1,5,2,0,4,13361623
92898,12/02/2007,FC,10,4,1,5,5,2,3,3,13046998
45473,02/06/2007,IL,5,2,1,2,5,3,3,5,14969021
60699,04/13/2007,IL,4,3,5,2,6,2,7.5,5,15371671
85001,11/27/2011,IL,4,1,2,5,5,3,3,4,13623214
75938,12/18/1998,IL,10,2,5,1,5,2,7.5,3,11546723
50956,12/20/1997,FC,4,4,4,3,4,5,2,4,12648209
40122,06/17/2010,FC,5,1,1,4,4,4,3,4,14243524
95000,12/31/1997,IL,5,1,2,2,4,2,3,4,13933093
80710,03/05/1996,FC,5,4,2,1,5,6,3,4,12699041
36032,11/19/2009,IL,10,3,3,2,3,4,7.5,5,13984563
14308,09/13/1999,DT,5,5,3,3,5,4,7.5,5,12974633
18864,07/04/2011,IL,4,2,5,3,5,4,1,4,13525143
63707,12/23/2005,FC,10,5,1,5,10,1,3,5,12929366
87765,11/03/2012,IL,5,2,3,1,2,2,3,4,15866406
24774,03/19/2009,FC,5,2,1,4,5,2,0,4,11099827
744,06/29/1997,IL,5,2,1,2,10,6,3,4,14539760
39517,06/23/2009,IL,10,10,1,2,4,2,3,5,14883225
95204,05/03/2013,FC,4,3,4,2,5,3,3,4,12039168
43735,05/04/2012,IL,10,3,1,4,5,2,3,6,19608138
27668,01/23/2009,FC,4,4,2,4,4,2,2,5,12319071
94219,12/07/2004,FC,4,2,3,1,3,2,2,1,11897219
92987,11/01/2007,FC,5,5,1,3,5,2,3,4,14901188
4470,11/12/2010,IL,4,1,3,2,4,6,1,10,12686760
50424,10/05/2010,FC,5,5,2,2,4,1,2,5,15207964
8805,03/09/1998,IL,5,2,1,4,3,4,2,5,12406184
55508,07/23/2011,FC,5,10,2,3,4,2,3,6,14093410
27368,05/30/2006,FC,4,3,1,1,5,2,2,5,10911799
